#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3300.02256614	0.0	0.0	3.378897876475001e-17
3300.22254961	0.0	0.0	3.571753836312e-17
3300.42253309	0.0	0.0	3.407707582533999e-17
3300.62251656	0.0	0.0	3.461320668663001e-17
3300.82250004	0.0	0.0	3.578385389754001e-17
3301.02248351	0.0	0.0	3.621070041318001e-17
3301.22246699	0.0	0.0	3.522439099344001e-17
3301.42245046	0.0	0.0	3.326588068344999e-17
3301.62243394	0.0	0.0	3.404906301473999e-17
3301.82241741	0.0	0.0	3.57525944463e-17
3302.02240089	0.0	0.0	3.357539792831001e-17
3302.22238436	0.0	0.0	3.347818063384e-17
3302.42236784	0.0	0.0	3.390649940799001e-17
3302.62235131	0.0	0.0	3.41381297267e-17
3302.82233479	0.0	0.0	3.4433899801e-17
3303.02231826	0.0	0.0	3.462150451888999e-17
3303.22230174	0.0	0.0	3.5641244667e-17
3303.42228521	0.0	0.0	3.500078498497e-17
3303.62226869	0.0	0.0	3.47587310125e-17
3303.82325208	0.0	0.0	3.492329230935e-17
3304.02323556	0.0	0.0	3.388864472115e-17
3304.22321903	2.3570806098609565e-20	2.3570806098609565e-20	3.317656960512e-17
3304.42320251	7.089921559860419e-20	7.089921559860419e-20	3.432756663923999e-17
3304.62318598	3.580371811898605e-18	3.580371811898605e-18	3.43245984894e-17
3304.82316946	3.580371811898605e-18	3.580371811898605e-18	3.497803633742e-17
3305.02315293	5.699482609198607e-18	5.699482609198607e-18	3.473434974832001e-17
3305.22313641	5.9641436122986054e-18	5.9641436122986054e-18	3.501871802552001e-17
3305.42311988	5.699482609198607e-18	5.699482609198607e-18	3.484385084016e-17
3305.62310336	5.699482609198607e-18	5.699482609198607e-18	3.494195414681999e-17
3305.82308683	5.699482609198607e-18	5.699482609198607e-18	3.450429898533002e-17
3306.02307031	3.580371811898605e-18	3.580371811898605e-18	3.450586988640001e-17
3306.22305379	1.781582875198603e-18	1.781582875198603e-18	3.510394448184e-17
3306.42303726	7.089921559860419e-20	7.089921559860419e-20	3.423053477555002e-17
3306.62302074	7.089921559860419e-20	7.089921559860419e-20	3.473469516290001e-17
3306.82300421	2.3570806098609565e-20	2.3570806098609565e-20	3.387778674903e-17
3307.02298769	2.3570806098609565e-20	2.3570806098609565e-20	3.538560617856e-17
3307.22297116	7.089921559860419e-20	7.089921559860419e-20	3.496317050824e-17
3307.42295464	7.089921559860419e-20	7.089921559860419e-20	3.468998959465e-17
3307.62293811	-1.8520334502013994e-18	-1.8520334502013994e-18	3.505318184394e-17
3307.82292159	-6.001792339501389e-18	-6.001792339501389e-18	3.405867313159999e-17
3308.02290507	-6.001792339501389e-18	-6.001792339501389e-18	3.499355392624001e-17
3308.22288854	-1.8520334502013994e-18	-1.8520334502013994e-18	3.405541126880001e-17
3308.42287202	-3.559359224801396e-18	-3.559359224801396e-18	3.477105104591999e-17
3308.62285549	-6.001792339501389e-18	-6.001792339501389e-18	3.344139347230001e-17
3308.82283897	-6.001792339501389e-18	-6.001792339501389e-18	3.322870634613e-17
3309.02282244	-6.001792339501389e-18	-6.001792339501389e-18	3.403840962528001e-17
3309.22280592	-3.559359224801396e-18	-3.559359224801396e-18	3.49126947798e-17
3309.42378931	-1.8520334502013994e-18	-1.8520334502013994e-18	3.516705752308999e-17
3309.62377279	1.781582875198603e-18	1.781582875198603e-18	3.49580715738e-17
3309.82375627	1.781582875198603e-18	1.781582875198603e-18	3.486738262536e-17
3310.02373974	1.781582875198603e-18	1.781582875198603e-18	3.537085059456001e-17
3310.22372322	3.4567332086986055e-18	3.4567332086986055e-18	3.648882774544e-17
3310.42370669	1.781582875198603e-18	1.781582875198603e-18	3.409060823294e-17
3310.62369017	1.781582875198603e-18	1.781582875198603e-18	3.410980177512001e-17
3310.82367365	1.781582875198603e-18	1.781582875198603e-18	3.391899317802999e-17
3311.02365712	3.4567332086986055e-18	3.4567332086986055e-18	3.483730053925e-17
3311.2236406	3.4567332086986055e-18	3.4567332086986055e-18	3.435434998492e-17
3311.42362407	3.4567332086986055e-18	3.4567332086986055e-18	3.465218202075001e-17
3311.62360755	3.580371811898605e-18	3.580371811898605e-18	3.478762346547999e-17
3311.82359103	4.813454005098603e-18	4.813454005098603e-18	3.518168016117999e-17
3312.0235745	5.530269128298606e-18	5.530269128298606e-18	3.547045754079e-17
3312.22355798	5.530269128298606e-18	5.530269128298606e-18	3.531505448988001e-17
3312.42354145	5.530269128298606e-18	5.530269128298606e-18	3.446030991027e-17
3312.62352493	5.722994070198605e-18	5.722994070198605e-18	3.422712143857999e-17
3312.82350841	5.722994070198605e-18	5.722994070198605e-18	3.364712378384e-17
3313.02349188	5.9641436122986054e-18	5.9641436122986054e-18	3.421113244313999e-17
3313.22347536	5.722994070198605e-18	5.722994070198605e-18	3.511628326239999e-17
3313.42345883	5.722994070198605e-18	5.722994070198605e-18	3.38777757813e-17
3313.62344231	5.530269128298606e-18	5.530269128298606e-18	3.44021637426e-17
3313.82342579	5.530269128298606e-18	5.530269128298606e-18	3.520781025318001e-17
3314.02340926	5.530269128298606e-18	5.530269128298606e-18	3.554849930479e-17
3314.22339274	5.530269128298606e-18	5.530269128298606e-18	3.548610121419999e-17
3314.42337622	4.813454005098603e-18	4.813454005098603e-18	3.572875902438e-17
3314.62335969	3.4567332086986055e-18	3.4567332086986055e-18	3.592412505042e-17
3314.82334317	1.781582875198603e-18	1.781582875198603e-18	3.489928035538e-17
3315.02432656	3.4567332086986055e-18	3.4567332086986055e-18	3.436940290050001e-17
3315.22431004	3.4567332086986055e-18	3.4567332086986055e-18	3.43008786006e-17
3315.42429352	3.4567332086986055e-18	3.4567332086986055e-18	3.396330594120001e-17
3315.62427699	3.4567332086986055e-18	3.4567332086986055e-18	3.490781611087001e-17
3315.82426047	3.4567332086986055e-18	3.4567332086986055e-18	3.527102112592e-17
3316.02424394	4.813454005098603e-18	4.813454005098603e-18	3.562817376762001e-17
3316.22422742	4.813454005098603e-18	4.813454005098603e-18	3.575995805034e-17
3316.4242109	4.813454005098603e-18	4.813454005098603e-18	3.546384156048e-17
3316.62419437	4.813454005098603e-18	4.813454005098603e-18	3.536189696092999e-17
3316.82417785	5.530269128298606e-18	5.530269128298606e-18	3.549025705019999e-17
3317.02416133	5.722994070198605e-18	5.722994070198605e-18	3.526367139485e-17
3317.2241448	6.3301087575986055e-18	6.3301087575986055e-18	3.468300227590002e-17
3317.42412828	5.722994070198605e-18	5.722994070198605e-18	3.323675916904e-17
3317.62411176	5.722994070198605e-18	5.722994070198605e-18	3.52834915545e-17
3317.82409523	5.722994070198605e-18	5.722994070198605e-18	3.417440071484e-17
3318.02407871	5.722994070198605e-18	5.722994070198605e-18	3.519987781808e-17
3318.22406219	5.722994070198605e-18	5.722994070198605e-18	3.39428788286e-17
3318.42404566	5.530269128298606e-18	5.530269128298606e-18	3.448188363576e-17
3318.62402914	5.722994070198605e-18	5.722994070198605e-18	3.41483778264e-17
3318.82401262	5.722994070198605e-18	5.722994070198605e-18	3.427182177094e-17
3319.02399609	5.530269128298606e-18	5.530269128298606e-18	3.469965363410001e-17
3319.22397957	5.530269128298606e-18	5.530269128298606e-18	3.524712544626001e-17
3319.42396305	5.722994070198605e-18	5.722994070198605e-18	3.488888083754999e-17
3319.62394653	5.722994070198605e-18	5.722994070198605e-18	3.421793888188001e-17
3319.82393	5.722994070198605e-18	5.722994070198605e-18	3.386022448686999e-17
3320.02391348	2.2574494813986026e-18	2.2574494813986026e-18	3.494415692268e-17
3320.22389696	1.6944776183986086e-18	1.6944776183986086e-18	3.493353213630001e-17
3320.42388043	1.6493049329861074e-19	1.6493049329861074e-19	3.452155278480999e-17
3320.62486383	1.6944776183986086e-18	1.6944776183986086e-18	3.378266929632e-17
3320.8248473	1.6944776183986086e-18	1.6944776183986086e-18	3.399409818900001e-17
3321.02483078	1.6944776183986086e-18	1.6944776183986086e-18	3.328863139503001e-17
3321.22481426	1.6944776183986086e-18	1.6944776183986086e-18	3.421637747250001e-17
3321.42479773	1.6944776183986086e-18	1.6944776183986086e-18	3.47192898051e-17
3321.62478121	1.613269329798609e-18	1.613269329798609e-18	3.343417062552e-17
3321.82476469	1.6493049329861074e-19	1.6493049329861074e-19	3.437729539584e-17
3322.02474817	6.5660054986032385e-21	6.5660054986032385e-21	3.430623690669001e-17
3322.22473164	-1.0634153444013998e-18	-1.0634153444013998e-18	3.434333782132001e-17
3322.42471512	6.5660054986032385e-21	6.5660054986032385e-21	3.290762554128001e-17
3322.6246986	6.5660054986032385e-21	6.5660054986032385e-21	3.277489560303001e-17
3322.82468207	-1.0634153444013998e-18	-1.0634153444013998e-18	3.279695104000001e-17
3323.02466555	-1.0634153444013998e-18	-1.0634153444013998e-18	3.306376898935001e-17
3323.22464903	-1.0634153444013998e-18	-1.0634153444013998e-18	3.343117541858e-17
3323.42463251	6.5660054986032385e-21	6.5660054986032385e-21	3.3104742444e-17
3323.62461598	1.6493049329861074e-19	1.6493049329861074e-19	3.393110525435999e-17
3323.82459946	1.6493049329861074e-19	1.6493049329861074e-19	3.356231748352e-17
3324.02458294	1.613269329798609e-18	1.613269329798609e-18	3.406444954967999e-17
3324.22456641	1.613269329798609e-18	1.613269329798609e-18	3.417432561663e-17
3324.42454989	1.613269329798609e-18	1.613269329798609e-18	3.462236338768001e-17
3324.62453337	1.6944776183986086e-18	1.6944776183986086e-18	3.433328461686e-17
3324.82451685	2.2574494813986026e-18	2.2574494813986026e-18	3.379007752967003e-17
